'_id',total_mandatos
PS,112.0
PPDPSD,80.0
PCPPEV,17.0
CDSPP,15.0
BE,2.0
PDA,0.0
POUS,0.0
MPT,0.0
PH,0.0
PSN,0.0
PPM,0.0
PCTPMRPP,0.0
