'_id',nome,votos
592c7a2501fd06eeadcf6265,São Vicente de Fora,196.0
592c7a2501fd06eeadcf6265,São Paulo,192.0
592c7a2501fd06eeadcf6265,Encarnação,183.0
592c7a2501fd06eeadcf6265,Alhandra,180.0
592c7a2501fd06eeadcf6265,Ventosa,179.0
592c7a2501fd06eeadcf6265,Venda do Pinheiro,178.0
592c7a2501fd06eeadcf6265,Pero Pinheiro,171.0
592c7a2501fd06eeadcf6265,Milharado,162.0
592c7a2501fd06eeadcf6265,Arruda dos Vinhos,159.0
592c7a2501fd06eeadcf6265,Prior Velho,158.0
592c7a2501fd06eeadcf6265,Terrugem,155.0
592c7a2501fd06eeadcf6265,TV Sta Maria Castelo S Miguel,150.0
592c7a2501fd06eeadcf6265,Bucelas,146.0
592c7a2501fd06eeadcf6265,Socorro,144.0
592c7a2501fd06eeadcf6265,Apelação,139.0
592c7a2501fd06eeadcf6265,Encarnação,135.0
592c7a2501fd06eeadcf6265,Lousa,128.0
592c7a2501fd06eeadcf6265,Ribamar,126.0
592c7a2501fd06eeadcf6265,A Triana,121.0
592c7a2501fd06eeadcf6265,Santo Antão do Tojal,119.0
592c7a2501fd06eeadcf6265,São Pedro da Cadeira,118.0
592c7a2501fd06eeadcf6265,Cadaval,115.0
592c7a2501fd06eeadcf6265,Ramalhal,115.0
592c7a2501fd06eeadcf6265,Atalaia,106.0
592c7a2501fd06eeadcf6265,São Cristovão e São Lourenço,105.0
592c7a2501fd06eeadcf6265,Miragaia,103.0
592c7a2501fd06eeadcf6265,Campelos,102.0
592c7a2501fd06eeadcf6265,Lamas,100.0
592c7a2501fd06eeadcf6265,Santo Estevão,99.0
592c7a2501fd06eeadcf6265,Turcifal,98.0
592c7a2501fd06eeadcf6265,Aveiras de Cima,96.0
592c7a2501fd06eeadcf6265,São Nicolau,90.0
592c7a2501fd06eeadcf6265,Marteleira,89.0
592c7a2501fd06eeadcf6265,Alcoentre,87.0
592c7a2501fd06eeadcf6265,Santo Quintino,87.0
592c7a2501fd06eeadcf6265,São João dos Montes,87.0
592c7a2501fd06eeadcf6265,Moita dos Ferreiros,86.0
592c7a2501fd06eeadcf6265,Santo Isidoro,86.0
592c7a2501fd06eeadcf6265,Freiria,86.0
592c7a2501fd06eeadcf6265,Ventosa,82.0
592c7a2501fd06eeadcf6265,Sobralinho,82.0
592c7a2501fd06eeadcf6265,Abrigada,81.0
592c7a2501fd06eeadcf6265,Sé,80.0
592c7a2501fd06eeadcf6265,Santo Estevão das Galés,80.0
592c7a2501fd06eeadcf6265,Sobral de Monte Agraço,80.0
592c7a2501fd06eeadcf6265,Montelavar,79.0
592c7a2501fd06eeadcf6265,Sapataria,79.0
592c7a2501fd06eeadcf6265,Dois Portos,79.0
592c7a2501fd06eeadcf6265,Ponte do Rol,79.0
592c7a2501fd06eeadcf6265,Fanhões,78.0
592c7a2501fd06eeadcf6265,São Julião do Tojal,75.0
592c7a2501fd06eeadcf6265,Santa Bárbara,74.0
592c7a2501fd06eeadcf6265,Reguengo Grande,72.0
592c7a2501fd06eeadcf6265,Azueira,70.0
592c7a2501fd06eeadcf6265,Ota,68.0
592c7a2501fd06eeadcf6265,Vermelha,68.0
592c7a2501fd06eeadcf6265,Santiago,67.0
592c7a2501fd06eeadcf6265,Arranhó,65.0
592c7a2501fd06eeadcf6265,Olhalvo,61.0
592c7a2501fd06eeadcf6265,Aldeia Galega da Merceana,59.0
592c7a2501fd06eeadcf6265,Carnota,58.0
592c7a2501fd06eeadcf6265,Aveiras de Baixo,58.0
592c7a2501fd06eeadcf6265,Vimeiro,58.0
592c7a2501fd06eeadcf6265,Santa Justa,57.0
592c7a2501fd06eeadcf6265,São Miguel,57.0
592c7a2501fd06eeadcf6265,Enxara do Bispo,57.0
592c7a2501fd06eeadcf6265,Sacramento,56.0
592c7a2501fd06eeadcf6265,Maxial,55.0
592c7a2501fd06eeadcf6265,Painho,54.0
592c7a2501fd06eeadcf6265,Maceira,54.0
592c7a2501fd06eeadcf6265,Igreja Nova,53.0
592c7a2501fd06eeadcf6265,São Miguel de Alcainça,48.0
592c7a2501fd06eeadcf6265,Matacães,48.0
592c7a2501fd06eeadcf6265,Runa,45.0
592c7a2501fd06eeadcf6265,Aldeia Gavinha,44.0
592c7a2501fd06eeadcf6265,Pero Moniz,44.0
592c7a2501fd06eeadcf6265,Moledo,44.0
592c7a2501fd06eeadcf6265,Carvoeira,44.0
592c7a2501fd06eeadcf6265,Cadafais,41.0
592c7a2501fd06eeadcf6265,Cheleiros,40.0
592c7a2501fd06eeadcf6265,Mártires,39.0
592c7a2501fd06eeadcf6265,São Bartolomeu dos Galegos,38.0
592c7a2501fd06eeadcf6265,Sobral da Abelheira,37.0
592c7a2501fd06eeadcf6265,Cabanas de Torres,36.0
592c7a2501fd06eeadcf6265,Vila Franca do Rosário,36.0
592c7a2501fd06eeadcf6265,Carvoeira,36.0
592c7a2501fd06eeadcf6265,Madalena,35.0
592c7a2501fd06eeadcf6265,Frielas,35.0
592c7a2501fd06eeadcf6265,Monte Redondo,34.0
592c7a2501fd06eeadcf6265,Peral,33.0
592c7a2501fd06eeadcf6265,Vila Nova de São Pedro,30.0
592c7a2501fd06eeadcf6265,Vila Verde dos Francos,29.0
592c7a2501fd06eeadcf6265,Santiago dos Velhos,29.0
592c7a2501fd06eeadcf6265,Alguber,29.0
592c7a2501fd06eeadcf6265,Meca,25.0
592c7a2501fd06eeadcf6265,Vila Nova da Rainha,23.0
592c7a2501fd06eeadcf6265,Gradil,23.0
592c7a2501fd06eeadcf6265,Carmões,23.0
592c7a2501fd06eeadcf6265,Cardosas,22.0
592c7a2501fd06eeadcf6265,Manique do Intendente,22.0
592c7a2501fd06eeadcf6265,Castelo,22.0
592c7a2501fd06eeadcf6265,Ribafria,20.0
592c7a2501fd06eeadcf6265,Cercal,20.0
592c7a2501fd06eeadcf6265,Vale do Paraiso,17.0
592c7a2501fd06eeadcf6265,Calhandriz,17.0
592c7a2501fd06eeadcf6265,Figueiros,15.0
592c7a2501fd06eeadcf6265,Cachoeiras,14.0
592c7a2501fd06eeadcf6265,Pereiro de Palhacana,13.0
592c7a2501fd06eeadcf6265,Vilar,13.0
592c7a2501fd06eeadcf6265,Maçussa,10.0
592c7a2501fd06eeadcf6265,Outeiro da Cabeça,0.0
